nuclide,event_id,interaction_id,parent_track_id,interaction_type,time_s,x_cm,y_cm,z_cm,particle_in_code,particle_out_code,dir_x,dir_y,dir_z,kinetic_energy_keV
Al-28,1,2,1,4,0.0,0.0,0.0,0.0,13028,3,-0.1214,0.70202,-0.70174,1424.316
Al-28,1,3,1,4,0.0,0.0,0.0,0.0,13028,13,-0.37463,0.738,-0.56126,1438.713
Al-28,1,4,1,4,0.0,0.0,0.0,0.0,13028,14028,0.23408,-0.72531,0.6474,0.205
Al-28,1,12,4,4,0.0,0.0,-0.0,0.0,14028,1,-0.35567,0.91436,0.19349,1778.969
Al-28,1,13,4,4,0.0,0.0,-0.0,0.0,14028,14028,0.35567,-0.91436,-0.19349,0.061
Al-28,2,2,1,4,0.0,0.0,0.0,0.0,13028,3,0.55827,0.5609,-0.61133,1348.022
Al-28,2,3,1,4,0.0,0.0,0.0,0.0,13028,13,-0.25986,-0.96116,-0.09294,1515.172
Al-28,2,4,1,4,0.0,0.0,0.0,0.0,13028,14028,-0.41764,0.3137,0.85274,0.04
Al-28,2,9,4,4,0.0,-0.0,0.0,0.0,14028,1,0.58979,-0.80741,-0.01555,1778.969
Al-28,2,10,4,4,0.0,-0.0,0.0,0.0,14028,14028,-0.58979,0.80741,0.01555,0.061
Al-28,3,2,1,4,0.0,0.0,0.0,0.0,13028,3,-0.11231,0.12228,0.98612,380.531
Al-28,3,3,1,4,0.0,0.0,0.0,0.0,13028,13,-0.60655,0.34627,-0.71568,2482.616
Al-28,3,4,1,4,0.0,0.0,0.0,0.0,13028,14028,0.74541,-0.44549,0.49588,0.087
Al-28,3,8,4,4,0.0,0.0,-0.0,0.0,14028,1,-0.56704,-0.39333,-0.72372,1778.969
Al-28,3,9,4,4,0.0,0.0,-0.0,0.0,14028,14028,0.56704,0.39333,0.72372,0.061
Al-28,4,2,1,4,0.0,0.0,0.0,0.0,13028,3,-0.91564,-0.40086,-0.03027,1360.395
Al-28,4,3,1,4,0.0,0.0,0.0,0.0,13028,13,-0.44188,0.85484,0.27202,1502.727
Al-28,4,4,1,4,0.0,0.0,0.0,0.0,13028,14028,0.96104,-0.23395,-0.14724,0.111
Al-28,4,7,4,4,0.0,0.0,-0.0,-0.0,14028,1,-0.56886,0.70017,-0.43146,1778.969
Al-28,4,8,4,4,0.0,0.0,-0.0,-0.0,14028,14028,0.56886,-0.70017,0.43146,0.061
Al-28,5,2,1,4,0.0,0.0,0.0,0.0,13028,3,-0.0014,-0.90647,-0.42227,858.13
Al-28,5,3,1,4,0.0,0.0,0.0,0.0,13028,13,0.00642,0.91678,0.39934,2005.094
Al-28,5,4,1,4,0.0,0.0,0.0,0.0,13028,14028,-0.01506,-0.93316,-0.35915,0.01
Al-28,5,7,4,4,0.0,-0.0,-0.0,-0.0,14028,1,-0.48568,0.66347,-0.56914,1778.969
Al-28,5,8,4,4,0.0,-0.0,-0.0,-0.0,14028,14028,0.48568,-0.66347,0.56914,0.061
Al-28,6,2,1,4,0.0,0.0,0.0,0.0,13028,3,-0.71047,0.44357,-0.54634,1762.616
Al-28,6,3,1,4,0.0,0.0,0.0,0.0,13028,13,0.44262,0.14198,0.8854,1100.569
Al-28,6,4,1,4,0.0,0.0,0.0,0.0,13028,14028,0.68274,-0.71547,0.14821,0.049
Al-28,6,9,4,4,0.0,0.0,-0.0,0.0,14028,1,-0.35393,-0.43937,0.82564,1778.969
Al-28,6,10,4,4,0.0,0.0,-0.0,0.0,14028,14028,0.35393,0.43937,-0.82564,0.061
Al-28,7,2,1,4,0.0,0.0,0.0,0.0,13028,3,-0.04041,-0.79237,-0.6087,1992.505
Al-28,7,3,1,4,0.0,0.0,0.0,0.0,13028,13,-0.81721,-0.484,-0.31291,870.549
Al-28,7,4,1,4,0.0,0.0,0.0,0.0,13028,14028,0.26499,0.77269,0.57682,0.18
Al-28,7,8,4,4,0.0,0.0,0.0,0.0,14028,1,0.86754,-0.10938,0.4852,1778.969
Al-28,7,9,4,4,0.0,0.0,0.0,0.0,14028,14028,-0.86754,0.10938,-0.4852,0.061
Al-28,8,2,1,4,0.0,0.0,0.0,0.0,13028,3,-0.0819,0.99635,0.02399,1122.982
Al-28,8,3,1,4,0.0,0.0,0.0,0.0,13028,13,0.65878,-0.32321,-0.67937,1740.189
Al-28,8,4,1,4,0.0,0.0,0.0,0.0,13028,14028,-0.55957,-0.54015,0.62859,0.064
Al-28,8,6,4,4,0.0,-0.0,-0.0,0.0,14028,1,0.87895,-0.43274,0.20044,1778.969
Al-28,8,7,4,4,0.0,-0.0,-0.0,0.0,14028,14028,-0.87895,0.43274,-0.20044,0.061
Al-28,9,2,1,4,0.0,0.0,0.0,0.0,13028,3,-0.53161,0.51356,-0.67354,1893.624
Al-28,9,3,1,4,0.0,0.0,0.0,0.0,13028,13,-0.23414,0.68355,-0.69133,969.403
Al-28,9,4,1,4,0.0,0.0,0.0,0.0,13028,14028,0.45024,-0.57019,0.68715,0.206
